file,resource_type,method,column,non_null_count,non_null_fraction
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,intent,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,status,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,authoredOn,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,identifier,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,resourceType,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,dosageInstruction,15219,0.8670806745670009
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,meta.profile,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,subject.reference,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,encounter.reference,17552,1.0
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,dispenseRequest.validityPeriod.end,14574,0.8303327256153145
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,dispenseRequest.validityPeriod.start,14574,0.8303327256153145
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,medicationReference.reference,15225,0.867422515952598
MimicMedicationRequest.ndjson.gz,MedicationRequest,generic_json_normalize,medicationCodeableConcept.coding,2327,0.132577484047402
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,resourceType,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,id,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,status,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,subject_ref,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,encounter_ref,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,code_code,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,code_system,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,code_display,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,effective_datetime,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,value_quantity_value,257474,0.3849433814449019
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,value_quantity_unit,162571,0.2430561162093227
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,value_quantity_code,162571,0.2430561162093227
MimicObservationChartevents.ndjson.gz,Observation,fhiry_compact,value_string,411388,0.6150566185550981
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,id,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,code,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,meta,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,issued,667703,0.9982672060903445
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,status,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,subject,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,category,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,encounter,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,resourceType,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,valueQuantity,257474,0.3849433814449019
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,effectiveDateTime,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,valueString,411388,0.6150566185550981
MimicObservationChartevents.ndjson.gz,Observation,fhirpack_frame,referenceRange,18473,0.027618552107908655
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,id,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,issued,667703,0.9982672060903445
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,status,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,category,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,resourceType,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,effectiveDateTime,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,code.coding,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,meta.profile,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,subject.reference,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,encounter.reference,668862,1.0
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,valueQuantity.code,162571,0.2430561162093227
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,valueQuantity.unit,162571,0.2430561162093227
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,valueQuantity.value,257474,0.3849433814449019
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,valueQuantity.system,257474,0.3849433814449019
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,valueString,411388,0.6150566185550981
MimicObservationChartevents.ndjson.gz,Observation,generic_json_normalize,referenceRange,18473,0.027618552107908655
MimicObservationED.ndjson.gz,Observation,fhiry_compact,resourceType,2742,1.0
MimicObservationED.ndjson.gz,Observation,fhiry_compact,id,2742,1.0
MimicObservationED.ndjson.gz,Observation,fhiry_compact,status,2742,1.0
MimicObservationED.ndjson.gz,Observation,fhiry_compact,subject_ref,2742,1.0
MimicObservationED.ndjson.gz,Observation,fhiry_compact,encounter_ref,2742,1.0
MimicObservationED.ndjson.gz,Observation,fhiry_compact,code_code,2742,1.0
MimicObservationED.ndjson.gz,Observation,fhiry_compact,code_system,2742,1.0
MimicObservationED.ndjson.gz,Observation,fhiry_compact,code_display,2742,1.0
MimicObservationED.ndjson.gz,Observation,fhiry_compact,effective_datetime,2742,1.0
